pick_id,owner,implied_value
Sacramento_Kings_2026_1,Sacramento Kings,0.61296675
Sacramento_Kings_2026_2,Sacramento Kings,0.07659375
Sacramento_Kings_2027_1,Sacramento Kings,0.6563325
Sacramento_Kings_2027_2,Sacramento Kings,0.0793885
Sacramento_Kings_2028_1,Sacramento Kings,0.63817075
Sacramento_Kings_2028_2,Portland Trail Blazers,0.07793525
Sacramento_Kings_2029_1,Sacramento Kings,0.5372779999999999
Sacramento_Kings_2029_2,Houston Rockets,0.06862225
Sacramento_Kings_2030_1,Sacramento Kings,0.45137075000000004
Sacramento_Kings_2030_2,San Antonio Spurs,0.058659249999999996
Sacramento_Kings_2031_1,Sacramento Kings,0.25271470068199037
Sacramento_Kings_2031_1,San Antonio Spurs,0.4677689951994703
Sacramento_Kings_2031_2,San Antonio Spurs,0.050527499999999996
Sacramento_Kings_2032_1,Sacramento Kings,0.35879525
Sacramento_Kings_2032_2,Sacramento Kings,0.047479
San_Antonio_Spurs_2027_1,Oklahoma City Thunder,0.15475975
San_Antonio_Spurs_2027_2,San Antonio Spurs,0.019716
San_Antonio_Spurs_2028_1,Boston Celtics,0.15167993630573248
San_Antonio_Spurs_2028_1,San Antonio Spurs,0.20248165002935997
San_Antonio_Spurs_2028_2,San Antonio Spurs,0.02200675
San_Antonio_Spurs_2029_1,San Antonio Spurs,0.18170325
